Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,1,24,0,2020-2-1
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,1,14,0,2020-2-6
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-2-7
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,2,20,0,2020-2-8
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,2,10,0,2020-2-9
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2020-2-11
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,2,18,0,2020-2-14
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2020-2-15
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,3,20,0,2020-2-16
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,3,19,0,2020-2-17
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,3,19,0,2020-2-18
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,3,23,0,2020-2-20
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,3,24,0,2020-2-21
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,4,14,0,2020-2-22
2 Eggs over easy,0,0,0,0,0,0,0,0,0,6,0,4,14,0,2020-2-23
2 Eggs over easy,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2020-2-24
2 Eggs over easy,0,0,0,0,0,0,0,0,0,1,0,4,25,0,2020-2-25
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,4,23,0,2020-2-28
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,5,19,0,2020-2-29
2 Eggs over easy,0,0,0,0,0,0,0,0,0,2,0,1,16,0,2020-1-1
2 Eggs over easy,0,0,0,0,0,0,0,0,0,3,0,1,17,0,2020-1-2
2 Eggs over easy,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-1-3
2 Eggs over easy,0,0,0,0,0,0,0,0,0,5,1,1,18,0,2020-1-4
