Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
KIDS Bean & Cheese Burrito,1.0,0.0,8.95,0.0,-0.0,8.95,0.85,8.95,0.0,1,0,5,21,8.95,2019-10-29
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
KIDS Bean & Cheese Burrito,3.0,0.0,26.85,0.0,-0.0,26.85,1.44,8.95,0.0,4,0,2,27,26.85,2019-10-11
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
KIDS Bean & Cheese Burrito,1.0,0.0,8.95,0.0,-0.0,8.95,0.26,8.95,0.0,6,0,3,27,8.95,2019-10-20
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
KIDS Bean & Cheese Burrito,1.0,0.0,8.95,0.0,-0.0,8.95,0.32,8.95,0.0,3,0,1,27,8.95,2019-10-3
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
KIDS Bean & Cheese Burrito,1.0,0.0,8.95,0.0,-0.0,8.95,0.26,8.95,0.0,6,0,4,22,8.95,2019-10-27
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
KIDS Bean & Cheese Burrito,1.0,0.0,8.95,0.0,-0.0,8.95,0.75,8.95,0.0,4,0,2,22,8.95,2019-12-13
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
KIDS Bean & Cheese Burrito,1.0,0.0,8.95,0.0,-0.0,8.95,0.4,8.95,0.0,5,1,2,15,8.95,2019-12-14
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
KIDS Bean & Cheese Burrito,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
